CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1
0.136	0.025878	-0.0222	0.0213081	-0.0405	0.0309832
0.1046	0.034373	-0.0452	0.0206337	-0.0713	0.0350318
0.0827	0.0166375	-0.0636	0.0133725	-0.0914	0.0151566
0.0654	0.0087265	-0.0788	0.0087129	-0.1023	-0.0026508
0.0574	-0.0101305	-0.0865	-0.0058536	-0.1104	-0.007338
0.0563	-0.02477	-0.0876	-0.0193188	-0.1153	-0.0132394
0.0592	-0.033814	-0.0829	-0.0318141	-0.1154	-0.0230766
0.063	-0.036475	-0.0795	-0.0292536	-0.1132	-0.0279442
0.0646	-0.03237	-0.0753	-0.0312117	-0.1106	-0.028875
0.0631	-0.0259955	-0.0729	-0.027501	-0.1087	-0.0274156
0.0675	-0.039251	-0.0428	-0.0891546	-0.0898	-0.065204
0.1022	-0.107556	0.0054	-0.132965	-0.0432	-0.12888
0.1461	-0.132874	0.0521	-0.135575	0.0108	-0.150921
0.1839	-0.12552	0.0726	-0.0832329	0.0383	-0.0986478
0.1951	-0.0719795	0.0622	-0.0172815	0.0425	-0.0503068
0.1819	-0.020065	0.0281	0.0364962	0.022	0.0039792
0.1542	0.012938	-0.0153	0.0612801	-0.0125	0.0375442
0.1118	0.048337	-0.0534	0.0548823	-0.0424	0.031557
0.0768	0.036613	-0.0737	0.0201594	-0.0668	0.0230686
0.0484	0.025919	-0.0822	-0.003354	-0.0863	0.0152912
0.0263	0.0152095	-0.0798	-0.0262926	-0.0953	-0.0054882
0.0162	-0.0088595	-0.0719	-0.0385749	-0.0951	-0.024642
0.0167	-0.031263	-0.0599	-0.0484452	-0.0884	-0.0389192
0.0221	-0.0423115	-0.0503	-0.0444063	-0.0792	-0.0451148
0.0296	-0.0477695	-0.0468	-0.0318759	-0.0734	-0.038524
0.0332	-0.0401775	-0.0578	6.75E-05	-0.0759	-0.0206422
0.0238	-0.0118685	0.0411	-0.242714	-0.0783	-0.0204076
0.0506	-0.0913575	0.0551	-0.0662691	-0.0152	-0.165499
0.1173	-0.183738	0.1069	-0.152186	0.0866	-0.259158
0.1915	-0.209349	0.1431	-0.124199	0.1666	-0.223312
0.2474	-0.178864	0.1476	-0.0586119	0.1754	-0.0751984
0.2542	-0.0778415	0.1195	0.0128616	0.1401	0.0213674
0.2144	0.0237225	0.0676	0.0688668	0.0601	0.124717
0.1376	0.109951	0.0198	0.0659334	-0.0314	0.15991
0.0674	0.104178	-0.0272	0.069975	-0.1007	0.121807
-0.0007	0.107943	-0.0515	0.0253755	-0.129	0.0393614
-0.0394	0.051044	-0.0594	-0.0079383	-0.1136	-0.0540294
-0.0457	-0.0160115	-0.0474	-0.0510261	-0.0581	-0.144783
-0.0263	-0.072178	-0.0283	-0.0681432	-0.0226	-0.106998
0.0087	-0.109181	-0.0081	-0.0728529	0.0102	-0.105284
0.0458	-0.118272	0.0397	-0.136668	0.0537	-0.133082
0.0881	-0.134709	0.0933	-0.15556	0.0961	-0.136052
0.1338	-0.148002	0.1171	-0.0961872	0.1058	-0.0687576
0.1468	-0.081626	0.1107	-0.0323313	0.0856	-0.0037148
0.1281	-0.0134525	0.0718	0.0403713	0.0372	0.0612388
0.0882	0.0354145	0.0154	0.0838431	-0.0111	0.066847
0.0375	0.063991	-0.0387	0.0856212	-0.0597	0.0734284
-0.0203	0.0859385	-0.0691	0.0397065	-0.0894	0.0374812
-0.0573	0.046985	-0.0809	0.0023052	-0.0945	-0.0133778
-0.0771	0.0136265	-0.0733	-0.0391269	-0.0818	-0.0521182
-0.0815	-0.017778	-0.0518	-0.0707415	-0.0502	-0.0954998
-0.0749	-0.0412955	-0.0707	0.0165786	-0.0575	-0.0128188
-0.0589	-0.062661	0.0878	-0.375245	0.0925	-0.361334
-0.0786	0.015066	0.2315	-0.362103	0.2188	-0.327157
0.1025	-0.428858	0.3135	-0.243314	0.272	-0.180575
0.24	-0.354998	0.3191	-0.0845031	0.2369	0.0085928
0.3174	-0.239664	0.2589	0.0601242	0.1533	0.120168
0.3015	-0.043333	0.1395	0.198354	0.0526	0.168057
0.203	0.140932	0.0336	0.182611	-0.0571	0.200235
0.0823	0.201625	-0.0622	0.173084	-0.1186	0.106632
-0.0547	0.252568	-0.1045	0.066123	-0.1411	0.0277146
-0.1451	0.166282	-0.096	-0.041289	-0.1215	-0.0628044
-0.1677	0.027452	-0.0452	-0.136079	-0.0816	-0.110059
-0.1343	-0.0934845	0.0086	-0.148861	-0.0293	-0.142317
-0.0902	-0.120795	0.0574	-0.144389	0.009	-0.117531
-0.0218	-0.179924	0.0749	-0.0809841	0.0194	-0.0602274
0.0226	-0.134965	0.0675	-0.0280086	0.0034	-0.0028742
0.0425	-0.086116	0.0314	0.0364992	-0.0353	0.0495104
0.0305	-0.0178385	-0.0198	0.0744126	-0.0743	0.054969
-0.0101	0.047144	0.069	-0.23045	-0.0459	-0.0898872
-0.055	0.061837	0.0958	-0.103754	0.1	-0.354345
0.0638	-0.296508	0.1934	-0.264726	0.2156	-0.305018
0.0696	-0.060252	0.2447	-0.174386	0.2778	-0.200898
0.1767	-0.286717	0.2518	-0.0831735	0.2579	-0.0266158
0.2232	-0.166154	0.2093	0.0254586	0.2003	0.0590656
0.2228	-0.0687295	0.1179	0.138763	0.1037	0.15235
0.1757	0.034114	0.0287	0.144761	-0.0173	0.218145
0.0823	0.142141	-0.0548	0.142975	-0.1127	0.176058
